model,condition,challenge_type,false_fill_rate,null_recall,distractor_error_rate,supported_accuracy,field_faithfulness_rate
Qwen/Qwen3-0.6B@robust-r2,C2,AMBIGUOUS,0.865,0.135,,0.9925,0.821
Qwen/Qwen3-0.6B@robust-r2,C2,CONTRADICTORY,1.0,0.0,,0.995,0.796
Qwen/Qwen3-0.6B@robust-r2,C2,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3-0.6B@robust-r2,C2,MISSING,0.25,0.75,,0.9975,0.948
Qwen/Qwen3-0.6B@robust-r2,C2,SUPPORTED,,,,1.0,1.0
Qwen/Qwen3-0.6B@robust-r3,C2,AMBIGUOUS,0.87,0.13,,0.9925,0.82
Qwen/Qwen3-0.6B@robust-r3,C2,CONTRADICTORY,1.0,0.0,,0.9975,0.798
Qwen/Qwen3-0.6B@robust-r3,C2,DISTRACTOR,,,0.0,1.0,1.0
Qwen/Qwen3-0.6B@robust-r3,C2,MISSING,0.25,0.75,,0.9975,0.948
Qwen/Qwen3-0.6B@robust-r3,C2,SUPPORTED,,,,0.999,0.999
Qwen/Qwen3.5-0.8B@robust-r1,C2,AMBIGUOUS,0.985,0.015,,0.99125,0.796
Qwen/Qwen3.5-0.8B@robust-r1,C2,CONTRADICTORY,1.0,0.0,,0.99875,0.799
Qwen/Qwen3.5-0.8B@robust-r1,C2,DISTRACTOR,,,0.0,0.99875,0.998
Qwen/Qwen3.5-0.8B@robust-r1,C2,MISSING,0.1,0.9,,0.98,0.964
Qwen/Qwen3.5-0.8B@robust-r1,C2,SUPPORTED,,,,0.973,0.973
Qwen/Qwen3.5-0.8B@robust-r2,C2,AMBIGUOUS,0.995,0.005,,0.995,0.797
Qwen/Qwen3.5-0.8B@robust-r2,C2,CONTRADICTORY,1.0,0.0,,1.0,0.8
Qwen/Qwen3.5-0.8B@robust-r2,C2,DISTRACTOR,,,0.0,1.0,0.998
Qwen/Qwen3.5-0.8B@robust-r2,C2,MISSING,0.1,0.9,,0.9775,0.962
Qwen/Qwen3.5-0.8B@robust-r2,C2,SUPPORTED,,,,0.973,0.973
Qwen/Qwen3.5-0.8B@robust-r3,C2,AMBIGUOUS,0.99,0.01,,0.99625,0.799
Qwen/Qwen3.5-0.8B@robust-r3,C2,CONTRADICTORY,1.0,0.0,,0.99875,0.799
Qwen/Qwen3.5-0.8B@robust-r3,C2,DISTRACTOR,,,0.0,1.0,0.999
Qwen/Qwen3.5-0.8B@robust-r3,C2,MISSING,0.115,0.885,,0.98125,0.962
Qwen/Qwen3.5-0.8B@robust-r3,C2,SUPPORTED,,,,0.975,0.975
ibm-granite/granite-4.0-350m@robust-r1,C2,AMBIGUOUS,0.995,0.005,,1.0,0.801
ibm-granite/granite-4.0-350m@robust-r1,C2,CONTRADICTORY,1.0,0.0,,1.0,0.8
ibm-granite/granite-4.0-350m@robust-r1,C2,DISTRACTOR,,,0.0,0.99625,0.995
ibm-granite/granite-4.0-350m@robust-r1,C2,MISSING,0.395,0.605,,0.82875,0.784
ibm-granite/granite-4.0-350m@robust-r1,C2,SUPPORTED,,,,0.99,0.99
ibm-granite/granite-4.0-350m@robust-r2,C2,AMBIGUOUS,0.98,0.02,,1.0,0.804
ibm-granite/granite-4.0-350m@robust-r2,C2,CONTRADICTORY,1.0,0.0,,0.9975,0.798
ibm-granite/granite-4.0-350m@robust-r2,C2,DISTRACTOR,,,0.0,0.995,0.995
ibm-granite/granite-4.0-350m@robust-r2,C2,MISSING,0.405,0.595,,0.8475,0.797
ibm-granite/granite-4.0-350m@robust-r2,C2,SUPPORTED,,,,0.991,0.991
ibm-granite/granite-4.0-350m@robust-r3,C2,AMBIGUOUS,0.995,0.005,,0.99875,0.8
ibm-granite/granite-4.0-350m@robust-r3,C2,CONTRADICTORY,1.0,0.0,,0.99875,0.799
ibm-granite/granite-4.0-350m@robust-r3,C2,DISTRACTOR,,,0.0,0.995,0.995
ibm-granite/granite-4.0-350m@robust-r3,C2,MISSING,0.41,0.59,,0.88375,0.825
ibm-granite/granite-4.0-350m@robust-r3,C2,SUPPORTED,,,,0.991,0.991
ibm-granite/granite-4.0-h-350m@robust-r1,C2,AMBIGUOUS,0.97,0.03,,0.9975,0.804
ibm-granite/granite-4.0-h-350m@robust-r1,C2,CONTRADICTORY,0.885,0.115,,1.0,0.823
ibm-granite/granite-4.0-h-350m@robust-r1,C2,DISTRACTOR,,,0.0,1.0,1.0
ibm-granite/granite-4.0-h-350m@robust-r1,C2,MISSING,0.005,0.995,,0.98375,0.986
ibm-granite/granite-4.0-h-350m@robust-r1,C2,SUPPORTED,,,,0.897,0.897
ibm-granite/granite-4.0-h-350m@robust-r2,C2,AMBIGUOUS,0.965,0.035,,0.99125,0.8
ibm-granite/granite-4.0-h-350m@robust-r2,C2,CONTRADICTORY,0.88,0.12,,1.0,0.824
ibm-granite/granite-4.0-h-350m@robust-r2,C2,DISTRACTOR,,,0.005,1.0,0.999
ibm-granite/granite-4.0-h-350m@robust-r2,C2,MISSING,0.005,0.995,,0.98,0.983
ibm-granite/granite-4.0-h-350m@robust-r2,C2,SUPPORTED,,,,0.96,0.96
ibm-granite/granite-4.0-h-350m@robust-r3,C2,AMBIGUOUS,0.97,0.03,,0.9975,0.804
ibm-granite/granite-4.0-h-350m@robust-r3,C2,CONTRADICTORY,0.905,0.095,,1.0,0.819
ibm-granite/granite-4.0-h-350m@robust-r3,C2,DISTRACTOR,,,0.0,1.0,1.0
ibm-granite/granite-4.0-h-350m@robust-r3,C2,MISSING,0.005,0.995,,0.985,0.987
ibm-granite/granite-4.0-h-350m@robust-r3,C2,SUPPORTED,,,,0.94,0.94
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C2,AMBIGUOUS,0.425,0.575,,0.27,0.331
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C2,CONTRADICTORY,0.45,0.55,,0.37875,0.413
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C2,DISTRACTOR,,,0.0,0.36375,0.381
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C2,MISSING,0.18,0.82,,0.2025,0.326
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r1,C2,SUPPORTED,,,,0.366,0.366
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C2,AMBIGUOUS,0.35,0.65,,0.225,0.31
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C2,CONTRADICTORY,0.49,0.51,,0.40625,0.427
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C2,DISTRACTOR,,,0.0,0.33875,0.354
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C2,MISSING,0.17,0.83,,0.22375,0.345
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r2,C2,SUPPORTED,,,,0.36,0.36
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C2,AMBIGUOUS,0.385,0.615,,0.2375,0.313
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C2,CONTRADICTORY,0.445,0.555,,0.37375,0.41
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C2,DISTRACTOR,,,0.0,0.37125,0.384
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C2,MISSING,0.215,0.785,,0.2425,0.351
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct@robust-r3,C2,SUPPORTED,,,,0.364,0.364
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C2,AMBIGUOUS,0.07142857142857142,0.9285714285714286,,0.07142857142857142,0.24285714285714285
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C2,CONTRADICTORY,0.0,1.0,,0.0,0.2
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C2,DISTRACTOR,,,0.0,0.0,0.0
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C2,MISSING,0.0,1.0,,0.0,0.2
tiiuae/Falcon-H1-Tiny-R-0.6B@robust-r1,C2,SUPPORTED,,,,0.25333333333333335,0.25333333333333335
