model,condition,n_outputs,json_parse_rate,schema_validity_rate,supported_accuracy,false_fill_rate,null_recall,abstention_precision,distractor_error_rate,field_faithfulness_rate,format_truth_gap
LiquidAI/LFM2.5-350M@int4,C4,1000,0.996,0.157,0.34023809523809523,0.10166666666666667,0.8983333333333333,0.15664051147922115,0.0,0.4074,-0.25039999999999996
LiquidAI/LFM2.5-350M@int8,C0,1000,,,0.93,0.6883333333333334,0.31166666666666665,0.9946808510638298,0.075,0.8538,
LiquidAI/LFM2.5-350M@int8,C1,1000,1.0,0.94,0.9954761904761905,0.7383333333333333,0.26166666666666666,1.0,0.02,0.9068,0.033199999999999896
LiquidAI/LFM2.5-350M@int8,C2,1000,0.999,0.908,0.996904761904762,0.76,0.24,0.972972972972973,0.005,0.906,0.0020000000000000018
LiquidAI/LFM2.5-350M@int8,C3,1000,0.964,0.96,0.965,0.67,0.33,0.577259475218659,0.0,0.89,0.06999999999999995
LiquidAI/LFM2.5-350M@int8,C4,1000,0.994,0.699,0.8795238095238095,0.6316666666666667,0.36833333333333335,0.3082287308228731,0.035,0.8212,-0.12220000000000009
Qwen/Qwen3-0.6B,C0,1000,,,0.9411904761904762,0.21666666666666667,0.7833333333333333,0.7142857142857143,0.0,0.9242,
Qwen/Qwen3-0.6B,C1,1000,1.0,0.899,0.9907142857142858,0.7266666666666667,0.2733333333333333,1.0,0.0,0.905,-0.006000000000000005
Qwen/Qwen3-0.6B,C2,1000,1.0,0.9,0.9978571428571429,0.7016666666666667,0.29833333333333334,1.0,0.0,0.914,-0.014000000000000012
Qwen/Qwen3-0.6B,C3,1000,1.0,1.0,0.7742857142857142,0.07166666666666667,0.9283333333333333,0.36644736842105263,0.0,0.7942,0.20579999999999998
Qwen/Qwen3-0.6B,C4,1000,1.0,1.0,0.9304761904761905,0.5333333333333333,0.4666666666666667,0.47619047619047616,0.0,0.8744,0.12560000000000004
Qwen/Qwen3-0.6B,C5,1000,1.0,1.0,0.7659523809523809,0.07166666666666667,0.9283333333333333,0.35119798234552335,0.0,0.781,0.21899999999999997
Qwen/Qwen3-0.6B@int4,C0,1000,,,0.830952380952381,0.19166666666666668,0.8083333333333333,0.40893760539629004,0.0,0.8348,
Qwen/Qwen3-0.6B@int4,C1,1000,1.0,0.899,0.9671428571428572,0.6833333333333333,0.31666666666666665,1.0,0.005,0.8902,0.00880000000000003
Qwen/Qwen3-0.6B@int4,C2,1000,1.0,0.925,0.9728571428571429,0.6833333333333333,0.31666666666666665,0.9947643979057592,0.005,0.895,0.030000000000000027
Qwen/Qwen3-0.6B@int4,C3,1000,1.0,1.0,0.465,0.03166666666666667,0.9683333333333334,0.20173611111111112,0.0,0.5134,0.48660000000000003
Qwen/Qwen3-0.6B@int4,C4,1000,1.0,0.983,0.9316666666666666,0.5766666666666667,0.42333333333333334,0.4584837545126354,0.0,0.8706,0.11239999999999994
Qwen/Qwen3-0.6B@int8,C0,1000,,,0.9511904761904761,0.23,0.77,0.77,0.0,0.9308,
Qwen/Qwen3-0.6B@int8,C1,1000,1.0,0.899,0.9909523809523809,0.7266666666666667,0.2733333333333333,1.0,0.0,0.9052,-0.006199999999999983
Qwen/Qwen3-0.6B@int8,C2,1000,1.0,0.899,0.996904761904762,0.7116666666666667,0.28833333333333333,1.0,0.0,0.912,-0.013000000000000012
Qwen/Qwen3-0.6B@int8,C3,1000,1.0,1.0,0.8042857142857143,0.07833333333333334,0.9216666666666666,0.4033552151714077,0.0,0.8216,0.1784
Qwen/Qwen3-0.6B@int8,C4,1000,1.0,1.0,0.919047619047619,0.54,0.46,0.4339622641509434,0.0,0.8632,0.13680000000000003
Qwen/Qwen3.5-0.8B,C0,1000,,,0.9721428571428572,0.2866666666666667,0.7133333333333334,0.9106382978723404,0.0,0.9416,
Qwen/Qwen3.5-0.8B,C1,1000,1.0,0.942,0.9890476190476191,0.6883333333333334,0.31166666666666665,1.0,0.0,0.908,0.03399999999999992
Qwen/Qwen3.5-0.8B,C2,1000,1.0,0.955,0.9902380952380953,0.7083333333333334,0.2916666666666667,1.0,0.0,0.9066,0.0484
Qwen/Qwen3.5-0.8B,C3,1000,1.0,0.953,0.9776190476190476,0.44,0.56,0.9180327868852459,0.0,0.9284,0.024599999999999955
Qwen/Qwen3.5-0.8B,C4,1000,1.0,1.0,0.9990476190476191,0.3283333333333333,0.6716666666666666,1.0,0.0,0.9598,0.040200000000000014
google/functiongemma-270m-it,C0,1000,,,0.8814285714285715,0.5316666666666666,0.4683333333333333,0.4524959742351047,0.05,0.8326,
google/functiongemma-270m-it,C1,1000,0.001,0.001,0.0009523809523809524,0.0,1.0,0.12012012012012012,0.0,0.121,-0.12
google/functiongemma-270m-it,C2,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it,C3,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it,C4,1000,0.153,0.056,0.10261904761904762,0.09833333333333333,0.9016666666666666,0.12146385271665919,0.0,0.2014,-0.1454
google/functiongemma-270m-it,C5,1000,1.0,1.0,0.9361904761904762,0.7183333333333334,0.2816666666666667,1.0,0.0,0.8574,0.14259999999999995
google/functiongemma-270m-it@int4,C0,1000,,,0.6847619047619048,0.63,0.37,0.20090497737556562,0.18,0.6378,
google/functiongemma-270m-it@int4,C1,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it@int4,C2,1000,0.001,0.001,0.0007142857142857143,0.0016666666666666668,0.9983333333333333,0.11991991991991992,0.0,0.1204,-0.11939999999999999
google/functiongemma-270m-it@int4,C3,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it@int4,C4,1000,0.47,0.334,0.3888095238095238,0.31333333333333335,0.6866666666666666,0.13961369027448323,0.0,0.4144,-0.08039999999999997
google/functiongemma-270m-it@int8,C0,1000,,,0.8997619047619048,0.5916666666666667,0.4083333333333333,0.5223880597014925,0.035,0.8412,
google/functiongemma-270m-it@int8,C1,1000,0.007,0.002,0.0054761904761904765,0.0016666666666666668,0.9983333333333333,0.12042621632488942,0.0,0.1244,-0.1224
google/functiongemma-270m-it@int8,C2,1000,0.0,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it@int8,C3,1000,0.002,0.0,0.0,0.0,1.0,0.12,0.0,0.12,-0.12
google/functiongemma-270m-it@int8,C4,1000,0.49,0.152,0.31285714285714283,0.2966666666666667,0.7033333333333334,0.12901253439315194,0.01,0.363,-0.211
ibm-granite/granite-4.0-350m,C0,1000,,,0.949047619047619,0.62,0.38,0.5671641791044776,0.0,0.882,
ibm-granite/granite-4.0-350m,C1,1000,0.918,0.817,0.9135714285714286,0.755,0.245,0.3094736842105263,0.0,0.8364,-0.019400000000000084
ibm-granite/granite-4.0-350m,C2,1000,0.961,0.863,0.9592857142857143,0.8116666666666666,0.18833333333333332,0.4200743494423792,0.0,0.8682,-0.005199999999999982
ibm-granite/granite-4.0-350m,C3,1000,0.999,0.999,0.9978571428571429,0.47833333333333333,0.5216666666666666,0.9873817034700315,0.0,0.9406,0.05840000000000001
ibm-granite/granite-4.0-350m,C4,1000,1.0,0.877,0.9502380952380952,0.5166666666666667,0.48333333333333334,0.5823293172690763,0.0,0.8958,-0.01880000000000004
ibm-granite/granite-4.0-350m,C5,1000,1.0,1.0,0.9988095238095238,0.48,0.52,1.0,0.0,0.9412,0.05879999999999996
ibm-granite/granite-4.0-h-350m,C0,1000,,,0.9938095238095238,0.39,0.61,0.9581151832460733,0.0,0.9478,
ibm-granite/granite-4.0-h-350m,C1,1000,1.0,0.969,0.9947619047619047,0.5733333333333334,0.4266666666666667,1.0,0.01,0.9264,0.04259999999999997
ibm-granite/granite-4.0-h-350m,C2,1000,0.954,0.897,0.94,0.645,0.355,0.48081264108352145,0.005,0.872,0.025000000000000022
ibm-granite/granite-4.0-h-350m,C3,1000,0.989,0.979,0.9457142857142857,0.38166666666666665,0.6183333333333333,0.6452173913043479,0.005,0.9078,0.07119999999999993
ibm-granite/granite-4.0-h-350m,C4,1000,1.0,0.986,0.9688095238095238,0.44666666666666666,0.5533333333333333,0.7170626349892009,0.005,0.92,0.06599999999999995
ibm-granite/granite-4.0-h-350m,C5,1000,1.0,1.0,0.8383333333333334,0.2966666666666667,0.7033333333333334,0.37644959857270294,0.0,0.8196,0.1804
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C0,1000,,,0.6792857142857143,0.875,0.125,0.08408071748878924,0.01,0.6126,
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C1,1000,1.0,0.982,0.8145238095238095,0.8133333333333334,0.18666666666666668,0.8235294117647058,0.005,0.736,0.246
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C2,1000,0.477,0.47,0.3271428571428571,0.35,0.65,0.14606741573033707,0.0,0.3696,0.10039999999999999
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C3,1000,0.696,0.695,0.26142857142857145,0.205,0.795,0.16330023964395754,0.01,0.3276,0.36739999999999995
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C4,1000,0.072,0.067,0.06523809523809523,0.07166666666666667,0.9283333333333333,0.11914438502673796,0.0,0.1676,-0.1006
tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct,C5,1000,1.0,1.0,0.3902380952380952,0.435,0.565,0.1726948548140601,0.01,0.413,0.587
tiiuae/Falcon-H1-Tiny-R-0.6B,C0,1000,,,0.2673809523809524,0.07,0.93,0.16057553956834533,0.02,0.3514,
tiiuae/Falcon-H1-Tiny-R-0.6B,C1,1000,0.02,0.02,0.020714285714285713,0.0,1.0,0.12244897959183673,0.0,0.1392,-0.11919999999999999
tiiuae/Falcon-H1-Tiny-R-0.6B,C2,1000,0.105,0.095,0.1138095238095238,0.02,0.98,0.13136729222520108,0.0,0.2176,-0.12259999999999999
tiiuae/Falcon-H1-Tiny-R-0.6B,C3,1000,0.231,0.231,0.2092857142857143,0.0016666666666666668,0.9983333333333333,0.14652641878669276,0.0,0.2998,-0.0688
tiiuae/Falcon-H1-Tiny-R-0.6B,C4,1000,0.171,0.171,0.1738095238095238,0.0033333333333333335,0.9966666666666667,0.14150496923805017,0.0,0.2672,-0.09619999999999998
tiiuae/Falcon-H1-Tiny-R-0.6B,C5,1000,1.0,1.0,0.7123809523809523,0.08333333333333333,0.9166666666666666,0.33252720677146314,0.065,0.7414,0.25860000000000005
